1,簡易宿所,浜千鳥,青森県,東津軽郡平内町,大字東田沢字横峰６８－１,,,,笹原吉男,,,青森県東地方保健所,2014-06-16,指令第１１３号,41.007566,140.880855
2,旅館・ホテル,夏泊ゴルフリンクスロッジＡ棟,青森県,東津軽郡平内町,大字東田沢字小湊越１０－２３０,,,０１７－７５９－２２１１,エビハラスポーツマン株式会社,代表取締役 ,海老原寿人,青森県東地方保健所,1992-04-24,指令第７９３号,41.001064,140.886582
3,旅館・ホテル,夏泊ゴルフリンクスロッジＢ棟,青森県,東津軽郡平内町,大字東田沢字小湊越１０－２３０,,,０１７－７５９－２２１１,エビハラスポーツマン株式会社,代表取締役 ,海老原寿人,青森県東地方保健所,1992-04-24,指令第７９４号,41.001064,140.886582
4,簡易宿所,夜越山ケビンハウス,青森県,東津軽郡平内町,大字浜子字堀替３６－１,,,０１７－７５５－２９６４,平内町,,,青森県東地方保健所,1998-03-09,指令第０２６８号,40.921679,140.987761
5,旅館・ホテル,佐々木旅館,青森県,東津軽郡外ヶ浜町,字蟹田中師宮本２の３,,,０１７４－２２－２１０４,佐々木恵子,,,青森県東地方保健所,1988-06-08,指令第１０８８号,41.046134,140.643747
6,旅館・ホテル,中村旅館,青森県,東津軽郡外ヶ浜町,字蟹田９４,,,０１７４－２２－２０４６,中村信,,,青森県東地方保健所,2005-06-16,指令第５４２号,41.042384,140.643228
7,簡易宿所,外ヶ浜町おぐにふるさと体験館,青森県,東津軽郡外ヶ浜町,字蟹田小国岩井３３８,,,０１７４－２２－３３３０,外ヶ浜町,,,青森県東地方保健所,2010-07-15,指令第１６７号,41.051568,140.589662
8,簡易宿所,石田旅館,青森県,東津軽郡外ヶ浜町,字平舘根岸山居４９,,,０１７４－２５－２３１７,石田千幸,,,青森県東地方保健所,2012-12-27,指令第２３４号,41.15718,140.638176
9,旅館・ホテル,ペンションだいば,青森県,東津軽郡外ヶ浜町,字平舘太郎右衛門沢１－１,,,０１７４－２５－２１３８,株式会社たいらだて,代表取締役　,対馬光児,青森県東地方保健所,1986-07-02,指令第１２５０号,,
10,簡易宿所,おだいばオートビレッジコテージ,青森県,東津軽郡外ヶ浜町,字平舘田の沢地内,,,０１７４－３１－２２１１,外ヶ浜町,,,青森県東地方保健所,2005-03-23,指令第１９６号,,
11,旅館・ホテル,平舘不老不死温泉,青森県,東津軽郡外ヶ浜町,字平舘根岸湯の沢１３２－１,,,０１７４－２５－２６１１,有限会社平舘不老不死温泉,代表取締役　,森山まり,青森県東地方保健所,2002-10-02,指令第１６１９号,41.150039,140.632157
12,簡易宿所,龍飛崎シーサイドパークバンガロー,青森県,東津軽郡外ヶ浜町,字三厩龍浜５４番地,,,０１７４－３８－２７４１,外ヶ浜町,,,青森県東地方保健所,2005-03-23,指令第１９７号,41.257205,140.344146
13,簡易宿所,竜飛崎シーサイドパークケビンハウス,青森県,東津軽郡外ヶ浜町,字三厩龍浜地内（宇鉄山８４林班内）,,,０１７４－３８－２７４１,外ヶ浜町,,,青森県東地方保健所,2005-03-23,指令第１９８号,,
